1, 1YDMA, 4, null,24, 1, 2022, 12, 45, 24, 1, 2022, 16, 15
1, 1YSDJ, 4, null,24, 1, 2022, 8, 20, 24, 1, 2022, 11, 50
1, 1YRWD, 2, null,27, 1, 2022, 10, 15, 27, 1, 2022, 11, 55
1, 1YSEP, 1, null,28, 1, 2022, 10, 23, 28, 1, 2022, 11, 8
2, 1YSEP, 3, null,25, 1, 2022, 9, 10, 25, 1, 2022, 11, 45
2, 1YDMA, 4, null,17, 1, 2022, 8, 20, 17, 1, 2022, 11, 50
3, 1YDMA, 4, null,31, 1, 2022, 8, 20, 31, 1, 2022, 11, 50
4, 1YDMA, 4, null,4, 2, 2022, 8, 20, 4, 2, 2022, 11, 50
1, 1XSDJ, 4, null,24, 1, 2022, 8, 20, 24, 1, 2022, 11, 50
2, 1XSDJ, 4, C05.15, 25, 1, 2022, 9, 10, 25, 1, 2022, 12, 40
2, 1YDMA, 4, C05.16a, 26, 1, 2022, 9, 10, 26, 1, 2022, 12, 40
2, 1YRWD, 2, C05.15, 25, 1, 2022, 12, 45, 25, 1, 2022, 14, 25
1, 1XRWD, 3, C03.12, 28, 1, 2022, 10, 10, 28, 1, 2022, 12, 45
1, 1XDMA, 4, C03.13, 25, 1, 2022, 12, 0, 25, 1, 2022, 15, 30
1, 1XSEP, 4, C05.16a, 26, 1, 2022, 9, 0, 26, 1, 2022, 12, 30
1, 1ZSDJ, 4, null,28, 1, 2022, 11, 20, 28, 1, 2022, 14, 50
1, 1ZRWD, 3, C03.12, 27, 1, 2022, 8, 20, 27, 1, 2022, 10, 55
2, 1ZRWD, 2, C05.16a, 24, 1, 2022, 14, 10, 24, 1, 2022, 15, 50
1, 1ZDMA, 4, C03.13, 26, 1, 2022, 10, 23, 26, 1, 2022, 13, 53
1, 1ZSEP, 3, null,28, 1, 2022, 10, 30, 28, 1, 2022, 13, 5
1, 1DKSDJ, 4, null,24, 1, 2022, 8, 20, 24, 1, 2022, 11, 50
